time, Quad.IMU.AX
1.410010,-0.089378
1.415010,-0.307113
1.420010,0.514207
1.425011,-0.312852
1.430011,0.948713
1.435011,-0.001971
1.440011,-0.090019
1.445011,0.542489
1.450012,0.046498
1.455012,-0.606934
1.460012,-0.167542
1.465012,0.265079
1.470013,0.252118
1.475013,0.724684
1.480013,-0.812654
1.485013,-0.413249
1.490014,0.472318
1.495014,0.601852
1.500014,0.181029
1.505014,0.093113
1.510015,0.488805
1.515015,-0.028454
1.520015,0.198212
1.525015,0.532752
1.530015,0.217675
1.535016,-0.840833
1.540016,0.016241
1.545016,-0.187890
1.550016,0.364170
1.555017,0.188460
1.560017,0.523445
1.565017,0.641791
1.570017,0.373008
1.575018,-0.914237
1.580018,-0.210703
1.585018,-0.664105
1.590018,-0.070698
1.595019,-0.183168
1.600019,-0.793098
1.605019,-0.008798
1.610019,-0.008947
1.615019,0.084702
1.620020,-1.113745
1.625020,-0.167272
1.630020,-0.480521
1.635020,0.604825
1.640021,0.417410
1.645021,-0.275703
1.650021,-0.593273
1.655021,-0.231562
1.660022,0.166856
1.665022,0.407579
1.670022,0.689937
1.675022,0.625804
1.680022,0.675376
1.685023,0.455834
1.690023,0.614005
1.695023,-0.044720
1.700023,0.016074
1.705024,-0.710645
1.710024,0.175432
1.715024,-0.146748
1.720024,-0.864436
1.725025,-0.161944
1.730025,-0.761183
1.735025,0.039923
1.740025,-0.051695
1.745026,0.327344
1.750026,0.094960
1.755026,-0.383290
1.760026,0.174295
1.765026,-0.061922
1.770027,0.238114
1.775027,-0.698017
1.780027,0.010449
1.785027,0.163411
1.790028,0.259864
1.795028,-0.215821
1.800028,0.451559
1.805028,-0.563123
1.810029,0.034361
1.815029,0.339433
1.820029,0.541009
1.825029,-0.375623
1.830029,0.101513
1.835030,-0.370113
1.840030,-0.547746
1.845030,0.501932
1.850030,0.310978
1.855031,-0.180735
1.860031,-0.762836
1.865031,-0.261550
1.870031,0.552475
1.875032,0.377511
1.880032,0.091799
1.885032,-0.209031
1.890032,-0.821503
1.895033,0.090619
1.900033,-0.156805
1.905033,-1.187150
1.910033,0.403813
1.915033,0.089083
1.920034,-0.600313
1.925034,0.101610
1.930034,0.623661
1.935034,-0.063054
1.940035,0.210484
1.945035,-0.045762
1.950035,0.422168
1.955035,-0.092374
1.960036,-0.417854
1.965036,-0.606097
1.970036,0.516447
1.975036,-0.428204
1.980036,-0.250897
1.985037,0.357863
1.990037,-0.361071
1.995037,0.358113
2.000037,0.138489
2.005037,-0.471991
2.010037,0.293541
2.015036,0.140611
2.020036,0.151945
2.025036,0.152090
2.030035,-0.430926
2.035035,0.548824
2.040035,0.321212
2.045034,-0.523602
2.050034,0.027840
2.055033,0.795868
2.060033,-0.242643
2.065033,-0.363074
2.070032,-0.041105
2.075032,-0.297556
2.080032,-0.428929
2.085031,0.557087
2.090031,0.061786
2.095031,-0.586239
2.100030,0.282692
2.105030,-0.176639
2.110029,0.882633
2.115029,-0.717680
2.120029,-0.301652
2.125028,-0.009097
2.130028,0.741458
2.135028,-0.334493
2.140027,-1.883568
2.145027,0.317254
2.150027,-0.233640
2.155026,0.155883
2.160026,0.502031
2.165025,-0.300250
2.170025,-0.692539
2.175025,-0.427335
2.180024,0.188832
2.185024,0.475170
2.190024,-0.052039
2.195023,0.322843
2.200023,-0.518380
2.205023,0.099533
2.210022,0.740971
2.215022,1.283388
2.220021,-0.250826
2.225021,-0.564938
2.230021,0.410080
2.235020,0.019443
2.240020,0.016067
2.245020,-0.521666
2.250019,-0.663523
2.255019,-0.912497
2.260019,-1.313605
2.265018,-0.153651
2.270018,0.224177
2.275017,0.352909
2.280017,0.791018
2.285017,-0.193832
2.290016,0.099048
2.295016,-0.671791
2.300016,0.957394
2.305015,0.108422
2.310015,0.835541
2.315015,0.408993
2.320014,1.040862
2.325014,0.221614
2.330014,-0.037846
2.335013,-0.118940
2.340013,-0.463298
2.345012,0.159038
2.350012,0.738687
2.355012,-0.378880
2.360011,0.306143
2.365011,-0.747514
2.370011,0.714015
2.375010,0.209608
2.380010,-0.067681
2.385010,-1.235900
2.390009,-0.369992
2.395009,0.023181
2.400008,0.108263
2.405008,-0.049030
2.410008,-0.283102
2.415007,-0.121110
